Racquet Name,Racquet Type,URL,Head Size:,Length:,Strung Weight:,Swingweight:,Stiffness:,Composition:,Power Level:,Stroke Style:,Price
Babolat Pure Aero Rafa,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa/descpageRCBAB-PARRA.html,100.0,68.58,303.0,323.0,69.0,Graphite,Low-Medium,Medium-Full,299.0
Babolat Pure Aero Team 2023,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team_2023/descpageRCBAB-BAROTM.html,100.0,68.58,301.0,302.0,67.0,Graphite,Low-Medium,Medium-Full,239.0
Babolat Pure Aero Rafa Team,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Team/descpageRCBAB-BPARTR.html,100.0,68.58,301.0,307.0,69.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Pure Aero Rafa Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Lite/descpageRCBAB-BPARLR.html,100.0,68.58,286.0,311.0,68.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Boost Aero Rafa,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Aero_Rafa/descpageRCBAB-BABOARR.html,102.0,68.58,278.0,306.0,67.0,Graphite,Low-Medium,Medium-Full,119.0
Babolat Pure Aero Team,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team/descpageRCBAB-BPART.html,100.0,68.58,301.0,307.0,69.0,Graphite,Low-Medium,Medium-Full,139.0
Babolat Pure Aero Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Lite/descpageRCBAB-BPARL.html,100.0,68.58,286.0,311.0,68.0,Graphite,Low-Medium,Medium-Full,139.0
Babolat EVO Aero Lite Pink,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Aero_Lite_Pink/descpageRCBAB-BEARLP.html,102.0,68.58,275.0,294.0,60.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat EVO Aero Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Aero_Lite/descpageRCBAB-BEARL.html,102.0,68.58,275.0,294.0,60.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Pure Drive Team,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Team/descpageRCBAB-BRPTE.html,100.0,68.58,301.0,313.0,69.0,Graphite,Low-Medium,Medium-Full,229.0
Babolat Pure Drive Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Lite/descpageRCBAB-BRPDL.html,100.0,68.58,283.0,299.0,69.0,Graphite,Low-Medium,Medium-Full,219.0
Babolat Pure Drive 107,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_107/descpageRCBAB-BRPD17.html,107.0,69.09,301.0,309.0,69.0,Graphite,Medium,Medium,229.0
Babolat Pure Strike 103,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_103/descpageRCBAB-BPS103.html,103.0,68.58,301.0,303.0,65.0,Graphite,Low-Medium,Medium-Full,179.0
Babolat Pure Strike Team 3rd Gen,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_Team_3rd_Gen/descpageRCBAB-BPSTRT.html,100.0,68.58,303.0,309.0,69.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Boost Aero,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Aero/descpageRCBAB-BABOOA.html,102.0,68.58,275.0,309.0,65.0,Graphite,Low-Medium,Medium-Full,99.0
Babolat Boost Aero Pink,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Aero_Pink/descpageRCBAB-BABOAP.html,102.0,68.58,275.0,309.0,65.0,Graphite,Low-Medium,Medium-Full,99.0
Babolat Pure Drive Team Wimbledon,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Team_Wimbledon/descpageRCBAB-BBPDTW.html,100.0,68.58,301.0,313.0,69.0,Graphite,Low-Medium,Medium-Full,239.0
Babolat EVO Drive,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Drive/descpageRCBAB-BEVODR.html,104.0,68.58,283.0,302.0,68.0,Graphite,Low-Medium,Medium-Full,179.0
Babolat EVO Drive Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Drive_Lite/descpageRCBAB-BEVODL.html,104.0,68.58,269.0,298.0,67.0,Graphite,Low-Medium,Medium-Full,159.0
Babolat EVO Drive Lite W,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Drive_Lite_W/descpageRCBAB-BEVODW.html,,,,,,,,,159.0
Babolat Boost Drive 2021,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Drive_2021/descpageRCBAB-BABODR.html,105.0,68.58,272.0,312.0,65.0,Graphite,Medium,Medium,99.0
Babolat Boost Drive Wimbledon,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Drive_Wimbledon/descpageRCBAB-BBBOWIM.html,105.0,68.58,272.0,312.0,65.0,Graphite,Medium,Medium,119.0
Babolat Boost Drive W,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Drive_W/descpageRCBAB-BABODW.html,105.0,68.58,272.0,312.0,65.0,Graphite,Medium,Medium,99.0
Babolat Boost S (Strike),All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_S_Strike/descpageRCBAB-BABOSR.html,102.0,68.58,295.0,312.0,68.0,Graphite,Low-Medium,Medium-Full,99.0
Babolat Pure Strike EVO,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_EVO/descpageRCBAB-PSEVO.html,102.0,68.58,295.0,308.0,65.0,Graphite,Low-Medium,Medium-Full,129.0
Head Gravity Team 2023,All Around Racquets,https://www.tennis-warehouse.com/Head_Gravity_Team_2023/descpageRCHEAD-HGTMPR.html,104.0,68.58,301.0,311.0,60.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,239.0
Head Boom Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Boom_Team_L/descpageRCHEAD-BOOMTL.html,107.0,69.6,275.0,306.0,66.0,Graphene 360+/Graphite,Medium,Medium,229.0
Head Boom Team,All Around Racquets,https://www.tennis-warehouse.com/Head_Boom_Team/descpageRCHEAD-BOOMT.html,102.0,68.58,289.0,316.0,66.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,239.0
Head Speed Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Speed_Team_L/descpageRCHEAD-SPDTL.html,100.0,68.58,275.0,302.0,66.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,229.0
Head Speed Team,All Around Racquets,https://www.tennis-warehouse.com/Head_Speed_Team/descpageRCHEAD-SPDTM.html,100.0,68.58,298.0,306.0,66.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,239.0
Head Instinct Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Instinct_Team_L/descpageRCHEAD-INSTTL.html,107.0,69.09,283.0,301.0,63.0,Graphene 360+/Graphite,Medium,Medium,149.0
Head Extreme Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Extreme_Team_L/descpageRCHEAD-HRETL2.html,105.0,68.58,281.0,309.0,65.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,229.0
Head Extreme Team,All Around Racquets,https://www.tennis-warehouse.com/Head_Extreme_Team/descpageRCHEAD-HRETE2.html,100.0,68.58,289.0,302.0,61.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,239.0
Wilson Blade 100 v8,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Blade_100_v8/descpageRCWILSON-WB1008.html,100.0,68.58,318.0,318.0,60.0,Braided Graphite/Basalt,Low-Medium,Medium-Full,249.0
Wilson Pro Staff 97UL v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97UL_v14/descpageRCWILSON-9714UL.html,97.0,68.58,283.0,301.0,67.0,Graphite,Low-Medium,Medium-Full,259.0
Wilson Pro Staff 97L v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97L_v14/descpageRCWILSON-97V14L.html,97.0,68.58,306.0,313.0,68.0,Graphite,Low-Medium,Medium-Full,259.0
Wilson Ultra 100L v4,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100L_v4/descpageRCWILSON-WU1LV4.html,100.0,68.58,295.0,299.0,64.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,229.0
Wilson Clash 100 v2,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100_v2/descpageRCWILSON-WC100V.html,100.0,68.58,312.0,313.0,57.0,Graphite,Low-Medium,Medium-Full,269.0
Wilson Clash 100L v2,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100L_v2/descpageRCWILSON-WC10LV.html,100.0,68.58,295.0,303.0,55.0,Graphite,Low-Medium,Medium-Full,249.0
Wilson Clash 100S,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100S/descpageRCWILSON-WC100S.html,100.0,68.58,309.0,317.0,54.0,Graphite,Low-Medium,Medium-Full,149.0
Wilson Burn 100LS v5,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100LS_v5/descpageRCWILSON-BRNLS5.html,100.0,68.58,298.0,313.0,72.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,159.0
Wilson Burn 100ULS v5,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100ULS_v5/descpageRCWILSON-BRULS5.html,100.0,68.58,275.0,301.0,67.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,159.0
Wilson Blade 100L v8,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Blade_100L_v8/descpageRCWILSON-100LB8.html,100.0,68.58,301.0,314.0,69.0,Braided Graphite,Low-Medium,Medium-Full,229.0
Wilson Blade 98L v6,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Blade_98L_v6/descpageRCWILSON-BLD98L.html,98.0,68.58,303.0,313.0,68.0,Braided Graphite/Basalt,Low-Medium,Medium-Full,159.0
Wilson Ultra 100L v2,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100L_v2/descpageRCWILSON-U100LV.html,100.0,68.58,292.0,302.0,68.0,Carbon Fiber,Low-Medium,Medium-Full,159.0
Wilson Triad Five,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Triad_Five/descpageRCWILSON-WTRI5.html,103.0,69.22,283.0,324.0,,Graphite,Medium,Medium,199.0
Wilson Pro Staff 97L v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97L_v14/descpageRCWILSON-97V14L.html,97.0,68.58,306.0,313.0,68.0,Graphite,Low-Medium,Medium-Full,259.0
Wilson Pro Staff Team v14,All Around Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_Team_v14/descpageRCWILSON-PSTM14.html,100.0,68.58,298.0,294.0,69.0,Graphite,Low-Medium,Medium-Full,169.0
Prince Hydrogen Spark 280g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Hydrogen_Spark_280g/descpageRCPRINCE-PRHSPL.html,100.0,68.58,295.0,309.0,68.0,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,199.0
Prince ATS Textreme Tour 100 290,All Around Racquets,https://www.tennis-warehouse.com/Prince_ATS_Textreme_Tour_100_290/descpageRCTWABG-ATR290.html,100.0,68.58,306.0,318.0,62.0,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,199.0
Prince Warrior 100 (285g),All Around Racquets,https://www.tennis-warehouse.com/Prince_Warrior_100_285g/descpageRCPRINCE-PWAR28.html,100.0,68.58,301.0,313.0,65.0,Graphite,Low-Medium,Medium-Full,69.0
Prince Vortex 310g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Vortex_310g/descpageRCPRINCE-PVRTXH.html,100.0,68.58,326.0,320.0,63.0,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,79.0
Prince Vortex 300g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Vortex_300g/descpageRCPRINCE-PVRTX.html,100.0,68.58,318.0,321.0,65.0,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,79.0
Prince Warrior 107,All Around Racquets,https://www.tennis-warehouse.com/Prince_Warrior_107/descpageRCPRINCE-PWAR17.html,107.0,68.58,289.0,313.0,68.0,Graphite,Low-Medium,Compact-Medium,69.0
Prince Warrior 100 (300g),All Around Racquets,https://www.tennis-warehouse.com/Prince_Warrior_100_300g/descpageRCPRINCE-PWAR10.html,100.0,68.58,318.0,311.0,65.0,Graphite,Low-Medium,Medium-Full,69.0
Prince Ripstick 100 280g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripstick_100_280g/descpageRCTWABG-PRIPSL.html,100.0,68.58,295.0,319.0,63.0,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,199.0
Prince Ripstick 100 300g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripstick_100_300g/descpageRCLEADER-PRIPS.html,100.0,68.58,318.0,325.0,64.0,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,199.0
Prince O3 Legacy 105,All Around Racquets,https://www.tennis-warehouse.com/Prince_O3_Legacy_105/descpageRCLEADER-P3LY05.html,105.0,69.22,295.0,321.0,67.0,Twaron/Textreme/Graphite,Medium-High,Compact-Medium,189.0
Prince Phantom 100X 290,All Around Racquets,https://www.tennis-warehouse.com/Prince_Phantom_100X_290/descpageRCTWABG-PPX290.html,100.0,68.58,306.0,319.0,58.0,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,149.0
Prince Textreme Warrior 100,All Around Racquets,https://www.tennis-warehouse.com/Prince_Textreme_Warrior_100/descpageRCTWABG-W100.html,100.0,68.58,315.81,320.0,66.0,Graphite/Textreme,Low-Medium,Medium-Full,99.0
Prince Ripcord 100 265g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripcord_100_265g/descpageRCTWABG-PRIPCL.html,100.0,68.58,281.0,311.0,62.0,Graphite,Low-Medium,Medium-Full,179.0
Prince Ripcord 100 280g,All Around Racquets,https://www.tennis-warehouse.com/Prince_Ripcord_100_280g/descpageRCTWABG-PRIPCH.html,100.0,68.58,295.0,307.0,61.0,Graphite,Low-Medium,Medium-Full,179.0
Yonex VCORE 100L 2023,All Around Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_100L_2023/descpageRCYONEX-YVC280.html,100.0,68.58,298.0,312.0,66.0,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,259.0
Yonex ASTREL 100,All Around Racquets,https://www.tennis-warehouse.com/Yonex_ASTREL_100/descpageRCYONEX-AST100.html,100.0,68.58,295.0,297.0,68.0,Graphite,Low-Medium,Medium-Full,295.0
Yonex ASTREL 105,All Around Racquets,https://www.tennis-warehouse.com/Yonex_ASTREL_105/descpageRCYONEX-AST105.html,105.0,68.58,278.0,298.0,68.0,HM Graphite/ Vibeslayer Carbon,Medium-High,Medium-Full,295.0
Yonex EZONE 100L,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_100L/descpageRCYONEX-EZO10L.html,100.0,68.58,298.0,308.0,69.0,2G NAMD Speed/HM Graphite,Low-Medium,Medium-Full,
Yonex EZONE 100SL,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_100SL/descpageRCYONEX-EZO270.html,100.0,68.58,283.0,303.0,68.0,2G-NAMD/HM Graphite,Low-Medium,Medium-Full,
Yonex EZONE 105,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_105/descpageRCYONEX-EZ105.html,105.0,68.58,289.0,303.0,67.0,2G-NAMD Speed/HM Graphite,Medium,Medium,
Yonex EZONE 98L,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_98L/descpageRCYONEX-EZO98L.html,98.0,68.58,301.0,310.0,65.0,2G-NAMD Speed/HM Graphite,Low-Medium,Medium-Full,
Yonex EZONE Ace,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_Ace/descpageRCYONEX-EZ260.html,102.0,68.58,275.0,309.0,66.0,Graphite,Low-Medium,Medium-Full,
Yonex EZONE Feel,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_Feel/descpageRCYONEX-EZ250.html,102.0,68.58,264.0,301.0,69.0,Nanocell Neo/H.M. Graphite,Low-Medium,Medium-Full,
Yonex EZONE Game,All Around Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_Game/descpageRCYONEX-EZO27.html,98.0,68.58,283.0,299.0,69.0,Nanocell Neo/HM Graphite,Low-Medium,Medium-Full,
Yonex VCORE PRO 100,All Around Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_100/descpageRCYONEX-3001VC.html,100.0,68.58,318.0,321.0,63.0,2G-Namd/HM Graphite,Low-Medium,Medium-Full,
Tecnifibre TFight ISO 295,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_TFight_ISO_295/descpageRCTFUSA-ISO295.html,100.0,68.58,312.0,324.0,70.0,Dynacore HD/Graphite,Low-Medium,Medium-Full,249.0
Tecnifibre TF-X1 275,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_275/descpageRCTFUSA-TFX175.html,105.0,68.58,289.0,310.0,69.0,Graphite,Low-Medium,Medium-Full,229.0
Tecnifibre TF-X1 285,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_285/descpageRCTFUSA-TFX185.html,100.0,68.58,298.0,316.0,71.0,Graphite,Low-Medium,Medium-Full,229.0
Tecnifibre Tempo 298 Iga,All Around Racquets,https://www.tennis-warehouse.com/Tecnifibre_Tempo_298_Iga/descpageRCTFUSA-TTIG22.html,98.0,68.58,312.0,319.0,71.0,Dynacore/Graphite,Low-Medium,Medium-Full,229.0
Dunlop SX 300 LS,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_SX_300_LS/descpageRCDUNLOP-S285DU.html,100.0,68.58,301.0,314.0,67.0,Sonic Core Infinergy/Graphite,Low-Medium,Compact-Medium,179.0
Dunlop SX 300 Lite,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_SX_300_Lite/descpageRCDUNLOP-L270DU.html,100.0,68.58,283.0,299.0,63.0,Sonic Core Infinergy/Graphite,Low-Medium,Compact-Medium,179.0
Dunlop SX 600,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_SX_600/descpageRCDUNLOP-6270DU.html,105.0,69.22,286.0,309.0,60.0,Sonic Core Infinergy/Graphite,Medium,Medium,179.0
Dunlop CX 400,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_CX_400/descpageRCDUNLOP-DS400R.html,100.0,68.58,303.0,319.0,71.0,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,199.0
Dunlop CX 200 OS,All Around Racquets,https://www.tennis-warehouse.com/Dunlop_CX_200_OS/descpageRCDUNLOP-D200OS.html,105.0,68.58,312.0,313.0,61.0,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,199.0
Solinco Blackout 285,All Around Racquets,https://www.tennis-warehouse.com/Solinco_Blackout_285/descpageRCSOLINCO-BLKO28.html,100.0,68.58,301.0,315.0,70.0,40T Carbon/Graphite,Low-Medium,Medium-Full,219.99
Solinco Whiteout 290,All Around Racquets,https://www.tennis-warehouse.com/Solinco_Whiteout_290/descpageRCSOLINCO-WHTO29.html,98.0,68.58,303.0,314.0,67.0,40T Carbon/Graphite,Low-Medium,Medium-Full,219.99
Babolat Pure Aero VS,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_VS/descpageRCBAB-BPAVSR.html,98.0,68.58,320.0,321.0,67.0,Graphite,Low-Medium,Medium-Full,209.0
Babolat Pure Strike VS,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_VS/descpageRCBAB-PSVSIN.html,97.0,68.58,332.0,322.0,63.0,Graphite,Low-Medium,Medium-Full,259.0
Babolat Pure Strike 18x20 3rd Gen,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_18x20_3rd_Gen/descpageRCBAB-PS182.html,98.0,68.58,323.0,334.0,66.0,Graphite,Low,Full,179.0
Babolat Pure Strike VS 2-Pack,Traditional Player's Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_VS_2-Pack/descpageRCBAB-PSVDOU.html,97.0,68.58,332.0,322.0,63.0,Graphite,Low-Medium,Medium-Full,509.0
Head Gravity Pro 2023,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Gravity_Pro_2023/descpageRCHEAD-HGPR.html,100.0,68.58,332.0,334.0,63.0,Graphene 360+/Graphite,Low,Full,269.0
Head Prestige MP,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Prestige_MP/descpageRCHEAD-MIPPRE.html,99.0,68.58,326.0,334.0,66.0,Graphene Inside/Graphite,Low,Full,259.0
Head Prestige Tour,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Prestige_Tour/descpageRCHEAD-TOUPRE.html,95.0,68.58,335.0,338.0,65.0,Graphene Inside/Graphite,Low-Medium,Medium-Full,269.0
Head Speed Pro,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Speed_Pro/descpageRCHEAD-SPDP.html,100.0,68.58,326.0,326.0,62.0,Graphene 360+/Graphite,Low,Full,269.0
Head Prestige Pro,Traditional Player's Racquets,https://www.tennis-warehouse.com/Head_Prestige_Pro/descpageRCHEAD-PROPRE.html,98.0,68.58,337.0,325.0,60.0,Graphene Inside/Graphite,Low,Full,269.0
Wilson Shift 99 Pro,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Shift_99_Pro/descpageRCWILSON-WSP315.html,99.0,68.58,332.0,332.0,68.0,Graphite,Low-Medium,Medium-Full,269.0
Wilson Pro Staff Six.One 95 18x20 v13,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_SixOne_95_18x20_v13/descpageRCWILSON-WPS95V.html,95.0,68.58,349.0,330.0,67.0,Graphite,Low,Full,129.0
