Racquet Name,Racquet Type,URL,Head Size:,Length:,Strung Weight:,Swingweight:,Stiffness:,Composition:,Power Level:,Stroke Style:,Price
Wilson Pro Staff 97 v14,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97_v14/descpageRCWILSON-W97V14.html,97.0,68.58,332.0,332.0,66.0,Graphite braided with aramid,Low,Full,279.0
Wilson Pro Staff 6.0 85,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_60_85/descpageRCWILSON-W26085.html,85.0,68.58,354.0,323.0,66.0,80% Graphite 20% Kevlar,Low,Full,169.0
Wilson Pro Staff RF97 v13,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_RF97_v13/descpageRCWILSON-97V13R.html,97.0,68.58,357.0,333.0,68.0,Graphite braided with aramid,Low,Full,219.0
Wilson Blade 98 18x20 v8,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Blade_98_18x20_v8/descpageRCWILSON-20BV8S.html,98.0,68.58,323.0,327.0,60.0,Braided Graphite,Low,Full,249.0
Wilson Pro Staff 97 v13,Traditional Player's Racquets,https://www.tennis-warehouse.com/Wilson_Pro_Staff_97_v13/descpageRCWILSON-W97V13.html,97.0,68.58,332.0,321.0,66.0,Graphite braided with aramid,Low,Full,199.0
Yonex VCORE PRO 97 310,Traditional Player's Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_97_310/descpageRCYONEX-310VD7.html,97.0,68.58,326.0,316.0,60.0,NAMD-2G/H.M.Graphite,Low,Full,259.0
Yonex VCORE PRO 97H 330 ,Traditional Player's Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_97H_330_/descpageRCYONEX-330VD7.html,97.0,68.58,349.0,337.0,61.0,NAMD-2G/H.M.Graphite,Low,Full,259.0
Yonex VCORE PRO 97D 320 ,Traditional Player's Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_PRO_97D_320_/descpageRCYONEX-320HD7.html,97.0,68.58,340.0,330.0,61.0,NAMD-2G/H.M.Graphite,Low,Full,259.0
Prince Tour Diablo MP,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Tour_Diablo_MP/descpageRCTWABG-DIABMP.html,100.0,69.22,326.0,317.0,60.0,Titanium/Tungsten/Graphite,Low,Full,179.0
Prince ATS Textreme Tour 100P,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_ATS_Textreme_Tour_100P/descpageRCTWABG-ATR10P.html,100.0,68.58,323.0,322.0,61.0,Textreme/Twaron/Graphite,Low,Full,199.0
Prince ATS Textreme Tour 95,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_ATS_Textreme_Tour_95/descpageRCTWABG-ATR95.html,95.0,68.58,337.0,324.0,61.0,Textreme/Twaron/Graphite,Low,Full,199.0
Prince Phantom 93P (18x20),Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Phantom_93P_18x20/descpageRCTWABG-PP93P.html,93.0,68.58,346.0,329.0,60.0,Textreme/Twaron/Graphite,Low,Full,199.0
Prince Phantom 93P (14x18),Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Phantom_93P_14x18/descpageRCTWABG-P1493P.html,93.0,68.58,343.0,329.0,62.0,Textreme/Twaron/Graphite,Low,Full,199.0
Prince Phantom 100X 18x20,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Phantom_100X_18x20/descpageRCTWABG-PPX182.html,100.0,68.58,335.0,324.0,59.0,Textreme/Twaron/Graphite,Low,Full,149.0
Prince Textreme Tour 95,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Textreme_Tour_95/descpageRCTWABG-PT2T95.html,95.0,68.58,337.0,325.0,64.0,Textreme/Twaron/Graphite,Low,Full,79.0
Prince Classic Graphite 107,Traditional Player's Racquets,https://www.tennis-warehouse.com/Prince_Classic_Graphite_107/descpageRCTWABG-CG107.html,107.0,68.58,345.86,336.0,65.0,100% Graphite!,Low-Medium,Medium-Full,139.0
Tecnifibre TF40 315 (16x19),Traditional Player's Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF40_315_16x19/descpageRCTFUSA-TF4TH.html,98.0,68.58,332.0,313.0,64.0,Dynacore XTC/Graphite,Low,Full,259.0
Tecnifibre TF40 305 (18x20),Traditional Player's Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF40_305_18x20/descpageRCTFUSA-TF4TW.html,98.0,68.58,323.0,328.0,64.0,Dynacore XTC/Graphite,Low,Full,259.0
Tecnifibre TF40 305 (16x19),Traditional Player's Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF40_305_16x19/descpageRCTFUSA-TF4ON.html,98.0,68.58,320.0,321.0,64.0,Dynacore XTC/Graphite,Low,Full,259.0
Babolat Pure Aero Rafa Origin,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Origin/descpageRCBAB-BAROR.html,100.0,68.58,337.0,371.0,70.0,Graphite,Low-Medium,Medium-Full,329.0
Babolat Pure Aero 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_2023/descpageRCBAB-BARO.html,100.0,68.58,318.0,322.0,65.0,Graphite,Low-Medium,Medium-Full,259.0
Babolat Pure Aero 98 2-Pack 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_98_2-Pack_2023/descpageRCBAB-BPAD98.html,98.0,68.58,323.0,327.0,65.0,Graphite,Low-Medium,,539.0
Babolat Pure Aero 98 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_98_2023/descpageRCBAB-BARO98.html,98.0,68.58,323.0,327.0,65.0,Graphite,Low-Medium,Medium-Full,279.0
Babolat Pure Aero Plus 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Plus_2023/descpageRCBAB-BAROPL.html,100.0,69.85,320.0,334.0,65.0,Graphite,Low-Medium,Medium-Full,259.0
Babolat Pure Aero Lite 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Lite_2023/descpageRCBAB-BAROL.html,100.0,68.58,283.0,304.0,65.0,Graphite,Low-Medium,Medium-Full,219.0
Babolat Pure Aero Rafa,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa/descpageRCBAB-PARRA.html,100.0,68.58,303.0,323.0,69.0,Graphite,Low-Medium,Medium-Full,299.0
Babolat Pure Aero Team 2023,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team_2023/descpageRCBAB-BAROTM.html,100.0,68.58,301.0,302.0,67.0,Graphite,Low-Medium,Medium-Full,239.0
Babolat Pure Aero Rafa,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa/descpageRCBAB-BPARR.html,100.0,68.58,318.0,324.0,67.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Pure Aero Rafa Team,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Team/descpageRCBAB-BPARTR.html,100.0,68.58,301.0,307.0,69.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Pure Aero Team,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team/descpageRCBAB-BPART.html,100.0,68.58,301.0,307.0,69.0,Graphite,Low-Medium,Medium-Full,139.0
Babolat Pure Aero Tour,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Tour/descpageRCBAB-BPATRR.html,100.0,68.58,335.0,327.0,68.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Pure Aero Plus,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Plus/descpageRCBAB-BPAPR.html,100.0,69.85,320.0,330.0,68.0,Graphite,Low-Medium,Medium-Full,169.0
Babolat Pure Drive,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive/descpageRCBAB-BRPDR.html,100.0,68.58,318.0,320.0,71.0,Graphite,Low-Medium,Medium-Full,249.0
Babolat Pure Drive Plus,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Plus/descpageRCBAB-BRPDP.html,100.0,69.85,318.0,324.0,69.0,Graphite,Low-Medium,Medium-Full,249.0
Babolat Pure Drive Team,Spin Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Team/descpageRCBAB-BRPTE.html,100.0,68.58,301.0,313.0,69.0,Graphite,Low-Medium,Medium-Full,229.0
Head Extreme Tour,Spin Racquets,https://www.tennis-warehouse.com/Head_Extreme_Tour/descpageRCHEAD-HRET22.html,98.0,68.58,320.0,317.0,63.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,269.0
Head Extreme MP,Spin Racquets,https://www.tennis-warehouse.com/Head_Extreme_MP/descpageRCHEAD-HREM22.html,100.0,68.58,318.0,322.0,66.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,259.0
Head Extreme Team,Spin Racquets,https://www.tennis-warehouse.com/Head_Extreme_Team/descpageRCHEAD-HRETE2.html,100.0,68.58,289.0,302.0,61.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,239.0
Head Extreme Team L,Spin Racquets,https://www.tennis-warehouse.com/Head_Extreme_Team_L/descpageRCHEAD-HRETL2.html,105.0,68.58,281.0,309.0,65.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,229.0
Head Instinct MP,Spin Racquets,https://www.tennis-warehouse.com/Head_Instinct_MP/descpageRCHEAD-INSTMP.html,100.0,68.58,318.0,313.0,64.0,Graphene 360+/Graphite,Low-Medium,Medium-Full,169.0
Head Instinct Team L,Spin Racquets,https://www.tennis-warehouse.com/Head_Instinct_Team_L/descpageRCHEAD-INSTTL.html,107.0,69.09,283.0,301.0,63.0,Graphene 360+/Graphite,Medium,Medium,149.0
Wilson Roland Garros Blade 98 16x19 v8,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Roland_Garros_Blade_98_16x19_v8/descpageRCWILSON-16BRGR.html,98.0,68.58,320.0,317.0,61.0,Braided Graphite,Low-Medium,Medium-Full,249.0
Wilson Clash 100 v2,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100_v2/descpageRCWILSON-WC100V.html,100.0,68.58,312.0,313.0,57.0,Graphite,Low-Medium,Medium-Full,269.0
Wilson Clash 100S,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Clash_100S/descpageRCWILSON-WC100S.html,100.0,68.58,309.0,317.0,54.0,Graphite,Low-Medium,Medium-Full,149.0
Wilson Blade 98 16x19 v8,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Blade_98_16x19_v8/descpageRCWILSON-16BV8R.html,98.0,68.58,320.0,317.0,61.0,Braided Graphite,Low-Medium,Medium-Full,249.0
Wilson Burn 100 v5,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100_v5/descpageRCWILSON-BRN1V5.html,100.0,68.58,318.0,320.0,72.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,179.0
Wilson Burn 100LS v5,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100LS_v5/descpageRCWILSON-BRNLS5.html,100.0,68.58,298.0,313.0,72.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,159.0
Wilson Burn 100S v5,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100S_v5/descpageRCWILSON-BRNSV5.html,100.0,68.58,320.0,325.0,73.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,179.0
Wilson Burn 100ULS v5,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100ULS_v5/descpageRCWILSON-BRULS5.html,100.0,68.58,275.0,301.0,67.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,159.0
Wilson Ultra 100 v4,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100_v4/descpageRCWILSON-WU10V4.html,100.0,68.58,318.0,317.0,70.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,249.0
Wilson Ultra 100L v4,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100L_v4/descpageRCWILSON-WU1LV4.html,100.0,68.58,295.0,299.0,64.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,229.0
Wilson Ultra 100UL v4,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100UL_v4/descpageRCWILSON-WUULV4.html,100.0,68.58,275.0,286.0,68.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,229.0
Wilson Burn 100 v4,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100_v4/descpageRCWILSON-BURN1R.html,100.0,68.58,318.0,328.0,71.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,129.0
Wilson Burn 100S v4,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Burn_100S_v4/descpageRCWILSON-BURNSR.html,100.0,68.58,318.0,326.0,72.0,Graphite/Countervail,Low-Medium,Medium-Full,129.0
Wilson Ultra 100 v2,Spin Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_100_v2/descpageRCWILSON-U100V2.html,100.0,68.58,318.0,314.0,74.0,Carbon Fiber Graphite,Low-Medium,Medium-Full,179.0
Prince Twistpower X100 Tour,Spin Racquets,https://www.tennis-warehouse.com/Prince_Twistpower_X100_Tour/descpageRCLEADER-PTWTR.html,100.0,68.58,318.0,324.0,66.0,Graphite,Low-Medium,Medium-Full,199.0
Prince Ripstick 100 280g,Spin Racquets,https://www.tennis-warehouse.com/Prince_Ripstick_100_280g/descpageRCTWABG-PRIPSL.html,100.0,68.58,295.0,319.0,63.0,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,199.0
Prince Ripstick 100 300g,Spin Racquets,https://www.tennis-warehouse.com/Prince_Ripstick_100_300g/descpageRCLEADER-PRIPS.html,100.0,68.58,318.0,325.0,64.0,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,199.0
Prince Twistpower X100,Spin Racquets,https://www.tennis-warehouse.com/Prince_Twistpower_X100/descpageRCTWABG-PTWIST.html,100.0,68.58,306.0,314.0,66.0,Graphite,Low-Medium,Medium-Full,199.0
Prince Classic Graphite 107,Spin Racquets,https://www.tennis-warehouse.com/Prince_Classic_Graphite_107/descpageRCTWABG-CG107.html,107.0,68.58,345.86,336.0,65.0,100% Graphite!,Low-Medium,Medium-Full,139.0
Prince Textreme Warrior 100,Spin Racquets,https://www.tennis-warehouse.com/Prince_Textreme_Warrior_100/descpageRCTWABG-W100.html,100.0,68.58,315.81,320.0,66.0,Graphite/Textreme,Low-Medium,Medium-Full,99.0
Yonex VCORE 95 2023,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_95_2023/descpageRCYONEX-YVC95.html,95.0,68.58,326.0,321.0,61.0,2G-Namd FlexForce/H.M. Graphite,Low,Full,259.0
Yonex VCORE 98 2023,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_98_2023/descpageRCYONEX-YVC98.html,98.0,68.58,323.0,318.0,62.0,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,259.0
Yonex VCORE 100 2023,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_100_2023/descpageRCYONEX-VCR100.html,100.0,68.58,320.0,322.0,65.0,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,259.0
Yonex VCORE 100L 2023,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_100L_2023/descpageRCYONEX-YVC280.html,100.0,68.58,298.0,312.0,66.0,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,259.0
Yonex VCORE 98,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_98/descpageRCYONEX-YVCR98.html,98.0,68.58,323.0,321.0,66.0,HM Graphite/2G-Namd,Low-Medium,Medium-Full,159.0
Yonex VCORE 100,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_100/descpageRCYONEX-YVC100.html,100.0,68.58,320.0,324.0,66.0,HM Graphite/2G-Namd,Low-Medium,Medium-Full,159.0
Yonex VCORE 98+,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_98/descpageRCYONEX-YVC98P.html,,,,,,,,,159.0
Yonex VCORE 95,Spin Racquets,https://www.tennis-warehouse.com/Yonex_VCORE_95/descpageRCYONEX-YVCR95.html,95.0,68.58,326.0,316.0,64.0,H.M. Graphite/2G-Namd,Low,Full,139.0
Solinco Blackout 300 XTD,Spin Racquets,https://www.tennis-warehouse.com/Solinco_Blackout_300_XTD/descpageRCSOLINCO-BLKOXT.html,100.0,69.85,320.0,328.0,70.0,40T Carbon/Graphite,Low-Medium,Medium-Full,219.99
Solinco Blackout 285,Spin Racquets,https://www.tennis-warehouse.com/Solinco_Blackout_285/descpageRCSOLINCO-BLKO28.html,100.0,68.58,301.0,315.0,70.0,40T Carbon/Graphite,Low-Medium,Medium-Full,219.99
Solinco Blackout 300,Spin Racquets,https://www.tennis-warehouse.com/Solinco_Blackout_300/descpageRCSOLINCO-BLKO30.html,100.0,68.58,320.0,316.0,71.0,40T Carbon/Graphite,Low-Medium,Medium-Full,219.99
Tecnifibre TF-X1 275,Spin Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_275/descpageRCTFUSA-TFX175.html,105.0,68.58,289.0,310.0,69.0,Graphite,Low-Medium,Medium-Full,229.0
Tecnifibre TF-X1 285,Spin Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_285/descpageRCTFUSA-TFX185.html,100.0,68.58,298.0,316.0,71.0,Graphite,Low-Medium,Medium-Full,229.0
Tecnifibre TF-X1 300,Spin Racquets,https://www.tennis-warehouse.com/Tecnifibre_TF-X1_300/descpageRCTFUSA-TFX130.html,100.0,68.58,315.0,323.0,71.0,Graphite,Low-Medium,Medium-Full,229.0
Babolat Pure Drive 107,Power Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_107/descpageRCBAB-BRPD17.html,107.0,69.09,301.0,309.0,69.0,Graphite,Medium,Medium,229.0
Babolat Pure Drive 110,Power Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_110/descpageRCBAB-BRPD11.html,110.0,70.1,269.0,298.0,70.0,Graphite,Medium-High,Compact-Medium,229.0
Babolat EVO Drive 115 Wimbledon,Power Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Drive_115_Wimbledon/descpageRCBAB-BBEDWIM.html,115.0,70.1,255.0,313.0,67.0,Graphite,Medium,Medium,179.0
Babolat EVO Drive 115,Power Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Drive_115/descpageRCBAB-BEVODO.html,115.0,70.1,255.0,313.0,67.0,Graphite,Medium,Medium,179.0
Babolat Drive Max 110,Power Racquets,https://www.tennis-warehouse.com/Babolat_Drive_Max_110/descpageRCBAB-DM110.html,110.0,69.85,274.99,302.0,69.0,Graphite,High,Compact-Medium,99.0
Wilson Hyper Hammer 5.3 Stretch OS,Power Racquets,https://www.tennis-warehouse.com/Wilson_Hyper_Hammer_53_Stretch_OS/descpageRCWILSON-53OS.html,110.0,69.85,255.0,301.0,70.0,15% Hyper Carbon / 85% Graphite,Medium,Medium,119.0
Wilson Ultra 108 v4,Power Racquets,https://www.tennis-warehouse.com/Wilson_Ultra_108_v4/descpageRCWILSON-WU18V4.html,108.0,69.22,283.0,311.0,70.0,Carbon Fiber Graphite,Medium-High,Compact-Medium,249.0
Wilson Triad Three,Power Racquets,https://www.tennis-warehouse.com/Wilson_Triad_Three/descpageRCWILSON-WTRI3.html,113.0,69.85,278.0,331.0,,Graphite,Medium-High,Compact-Medium,199.0
Head Instinct PWR 110,Power Racquets,https://www.tennis-warehouse.com/Head_Instinct_PWR_110/descpageRCHEAD-INSPW0.html,110.0,69.6,275.0,307.0,67.0,Graphene 360+/Graphite,Medium-High,Compact-Medium,169.0
Head Instinct PWR 115,Power Racquets,https://www.tennis-warehouse.com/Head_Instinct_PWR_115/descpageRCHEAD-INSPW5.html,115.0,70.36,247.0,314.0,70.0,Graphene 360+/Graphite,Medium-High,Compact-Medium,169.0
Head Titanium Ti.S6 Strung,Power Racquets,https://www.tennis-warehouse.com/Head_Titanium_TiS6_Strung/descpageRCHEAD-TIS6.html,115.0,70.49,252.0,318.0,75.0,Graphite / Titanium Composite,High,Compact-Medium,99.0
Head Graphene XT Instinct PWR,Power Racquets,https://www.tennis-warehouse.com/Head_Graphene_XT_Instinct_PWR/descpageRCHEAD-HIPWR.html,115.0,70.36,243.81,316.0,70.0,Graphene XT/Graphite,Medium-High,Compact-Medium,89.0
Yonex ASTREL 105,Power Racquets,https://www.tennis-warehouse.com/Yonex_ASTREL_105/descpageRCYONEX-AST105.html,105.0,68.58,278.0,298.0,68.0,HM Graphite/ Vibeslayer Carbon,Medium-High,Medium-Full,295.0
Yonex ASTREL 115,Power Racquets,https://www.tennis-warehouse.com/Yonex_ASTREL_115/descpageRCYONEX-AST115.html,115.0,67.95,275.0,292.0,68.0,HM Graphite/ Vibeslayer Carbon,Medium-High,Medium-Full,295.0
Yonex EZONE 110,Power Racquets,https://www.tennis-warehouse.com/Yonex_EZONE_110/descpageRCYONEX-EZ110.html,110.0,69.22,272.0,302.0,66.0,H.M. Graphite,Medium,Medium,209.0
Prince O3 Legacy 120,Power Racquets,https://www.tennis-warehouse.com/Prince_O3_Legacy_120/descpageRCTWABG-P3LY12.html,120.0,69.22,275.0,328.0,72.0,Twaron/Textreme/Graphite,High,Compact,189.0
Prince Legacy 120,Power Racquets,https://www.tennis-warehouse.com/Prince_Legacy_120/descpageRCTWABG-PLGY12.html,120.0,69.22,266.0,317.0,73.0,Twaron/Textreme/Graphite,High,Compact,179.0
Prince O3 Legacy 110,Power Racquets,https://www.tennis-warehouse.com/Prince_O3_Legacy_110/descpageRCTWABG-P3LY11.html,110.0,69.22,286.0,327.0,73.0,Twaron/Textreme/Graphite,Medium,Medium,189.0
Prince Warrior 107,Power Racquets,https://www.tennis-warehouse.com/Prince_Warrior_107/descpageRCPRINCE-PWAR17.html,107.0,68.58,289.0,313.0,68.0,Graphite,Low-Medium,Compact-Medium,69.0
Dunlop FX 700,Power Racquets,https://www.tennis-warehouse.com/Dunlop_FX_700/descpageRCDUNLOP-DFX7R.html,107.0,69.85,278.0,325.0,67.0,Sonic Core Infinergy/Graphite,Medium,Medium,199.0
Dunlop LX 1000,Power Racquets,https://www.tennis-warehouse.com/Dunlop_LX_1000/descpageRCDUNLOP-DLX100.html,115.0,69.85,269.0,321.0,75.0,Flex Touch Resin/Graphite,High,Compact,249.0
Dunlop LX 800,Power Racquets,https://www.tennis-warehouse.com/Dunlop_LX_800/descpageRCDUNLOP-DLX800.html,110.0,69.85,272.0,312.0,76.0,Flex Touch Resin/Graphite,Medium-High,Compact-Medium,249.0
